appliance_name,start_time,end_time,is_negative
Ballon d'Eau Chaude,2025-10-27T23:53:57+01:00,2025-10-28T00:09:49+01:00,False
Ballon d'Eau Chaude,2025-10-27T14:23:56+01:00,2025-10-27T14:47:51+01:00,False
Ballon d'Eau Chaude,2025-10-27T12:42:08+01:00,2025-10-27T12:52:33+01:00,True
Ballon d'Eau Chaude,2025-10-27T12:13:52+01:00,2025-10-27T12:24:51+01:00,True
Ballon d'Eau Chaude,2025-10-27T09:53:20+01:00,2025-10-27T10:15:50+01:00,True
Lave-Linge (séchage),2025-10-27T09:53:00+01:00,2025-10-27T10:37:00+01:00,False
Lave-Linge (rapide),2025-10-27T09:06:30+01:00,2025-10-27T09:49:00+01:00,False
Ballon d'Eau Chaude,2025-10-26T23:53:57+01:00,2025-10-27T00:07:53+01:00,False
Ballon d'Eau Chaude,2025-10-26T14:23:57+01:00,2025-10-26T14:45:35+01:00,False
Ballon d'Eau Chaude,2025-10-25T14:23:57+02:00,2025-10-25T14:51:38+02:00,False
Ballon d'Eau Chaude,2025-10-25T11:09:27+02:00,2025-10-25T11:22:04+02:00,True
Ballon d'Eau Chaude,2025-10-25T09:15:45+02:00,2025-10-25T09:26:59+02:00,True
Ballon d'Eau Chaude,2025-10-24T23:53:56+02:00,2025-10-25T00:08:41+02:00,False
Ballon d'Eau Chaude,2025-10-24T14:23:56+02:00,2025-10-24T14:51:08+02:00,False
Ballon d'Eau Chaude,2025-10-23T23:53:57+02:00,2025-10-24T00:11:12+02:00,False
Ballon d'Eau Chaude,2025-10-23T14:23:56+02:00,2025-10-23T14:48:54+02:00,False
Ballon d'Eau Chaude,2025-10-22T23:53:56+02:00,2025-10-23T00:08:43+02:00,False
Ballon d'Eau Chaude,2025-10-22T14:23:56+02:00,2025-10-22T14:36:41+02:00,False
